Deutsch,English,Russisch
verstanden,Roger that,заметано
verloren,lost,потерянный
große,size,размер
hand,hand,рука
grund,reason,причина
jahr,year,год
kommst,come,приходить
mama,Mama,мумия
ruhe,Quiet,Тихий
gewesen,been,был
tod,death,смерть
stunden,hours,часы
hoffe,hope,надеяться
denkst,think,думать
oben,above,над
gestern,yesterday,вчера
versuchen,to attempt,попытаться
art,art,Добрый
letzten,last,прошлой
schatz,treasure,сокровище
endlich,at last,в конце концов
he,he,голова
nimm,take,брать
etwa,about,о
erzählt,told,сказал
läuft,running,Бег
schwer,heavy,тяжелый
anders,different,разные
miss,miss,Мисс
musste,had to,должен был
fünf,five,пять
wasser,water,вода
lässt,leaves,листья
erste,first,первый
versucht,tries,пытается
gekommen,came,пришел
geschichte,story,история
wenig,little,маленький
holen,to fetch,чтобы получить
bedeutet,means,означает
nett,screen,Добрый
wahrheit,truth,правда
woche,week,неделю
bringt,brings,приносить
deshalb,for this reason,по этой причине
welche,Which,Который
bestimmt,certainly,безусловно
hoch,high,высоко
alter,age,возраст
sagst,tell,рассказать
schau,show,показывать
ah,like,Ах
land,land,страна
zimmer,room,номер
wagen,dare,посметь
vier,four,четыре
gefallen,like,подобно
spaß,fun,весело
niemals,No way,Ни за что
schuld,fault,вина
getötet,killed,погибший
wollten,wanted to,хотеть
verlassen,leaving,уход
zeigen,demonstrate,продемонстрировать
beste,as,Лучший
ernst,serious,серьезный
unserer,our,наш
denen,to them,им
ort,location,место нахождения
bleibt,remains,останки
würdest,thought,мысль
manchmal,sometimes,иногда
glaubst,believe,полагать
seite,side,сторона
lasst,leaves,листья
zwischen,in between,между
eben,just,только что
während,while,пока
spiel,game,игра
nehme,take,брать
ersten,first,первый
guter,goods,товары
chance,chance,шанс
freundin,girlfriend,любимая девушка
krieg,war,война
gefällt,pleases,радует
kleinen,small,небольшой
erzählen,tell,рассказать
anderes,other,разное
tage,day,день
entschuldigen,to apologize,извиниться
wichtig,important,важный
gehst,go,идти
allen,all,все
bett,bed,кровать
mrs,mrs,МИССИС
sachen,stuff,вещи
the,the,то
schlecht,bad,плохой
schule,school,школа
entschuldigung,excuse,извинение
wort,word,слово
john,john,Джон
hättest,had,имел
wären,be,быть
typ,type,Тип
schlafen,sleep,спать
äh,Ah,Ах
tu,you,турист
euer,your,твой
captain,captain,капитан
gesicht,face,лицо
falls,falls,если
neuen,new,новый
bloß,just,только что
unten,below,ниже
teil,part,часть
beiden,both,обе
mensch,person,человек
kleiner,smaller,меньший
stellen,place,место
oft,often,довольно часто
sorge,worries,беспокоиться
gedacht,thought,мысль
tust,tu,турист
trinken,drink,напиток
einige,some,немного
dies,this,это
ding,thing,предмет
unseren,Our,Наш
kriegen,get,получать
blut,blood,кровь
ehrlich,Honestly,Честно
eltern,parents,родители
scheint,seems,кажется
herz,heart,сердце
jack,jack,разъем
glücklich,happy,счастливый
alte,other,Старый
alt,everything,Старый
bleib,stay,оставаться
wiedersehen,reunion,воссоединение
frei,free,бесплатно
wen,Wen,кого
drauf,on it,в теме
möglich,possible,возможно
irgendwie,somehow,как-то
reicht,suffices,хватает
fest,fixed,фиксированный
besten,best,Лучший
waffe,weapon,оружие
kaum,barely,едва
irgendwas,anything,что-нибудь
klingt,sound,звук
platz,space,пространство
brauchst,need,нужно
rede,network,речь
papa,Pope,отец
falsch,not correct,не верно
sondern,but,но
alten,old,Старый
nummer,nummer,количество
früher,earlier,ранее
jungen,boys,мальчики
wohin,where,куда
außer,apart from,Кроме
früh,early,рано
setzen,set,задавать
zuerst,first,первый
wahrscheinlich,probably,наверное
dürfen,to be allowed to,быть допущеным до
jede,every,каждый
arsch,ass,жопа
telefon,phone,Телефон
tue,yours,делать
kennst,know,знать
willkommen,welcome,Добро пожаловать
plan,plan,строить планы
großen,huge,огромный
retten,court,спасать
hierher,here,здесь
wär,would be,было бы
bring,bring,приносить
fehler,error,ошибка
wollt,want,хочу
dollar,dollar,доллар
zehn,ten,десять
allem,all,все
pass,pass,заграничный пасспорт
nächste,next,следующий
stunde,hour,час
hände,hands,Руки
gegeben,given,дано
menge,amount,количество
langsam,slow,медленный
bereits,already,уже
wartet,wait,ждать
sechs,six,шесть
lieben,love,любовь
meines,mine,мой
büro,office,офис
nächsten,next,следующий
gebe,giving,давать
wochen,weekly,недельно
ruf,call,вызов
schaffen,create,Создайте
leider,Unfortunately,К сожалению
scheiß,shit,дерьмо
hölle,hell,ад
trotzdem,Nevertheless,тем не менее
doktor,doctor,доктор
tja,there,хорошо
new,new,Новый
voll,fully,от корки до корки
film,film,Фильм
überall,everywhere,где угодно
hund,dog,собака
geworden,become,стали
direkt,direct,непосредственный
wolltest,wanted,в розыске
tat,gain,сделал
denkt,think,думать
schiff,ship,корабль
neues,new,новый
wem,wem,кого
könig,king,король
danach,after that,после этого
funktioniert,functions,функции
hattest,had,имел
lernen,learn,учить
deswegen,because of this,из-за этого
wow,wow,Вот это да
nennen,to name,назвать
hm,Hm.,HM.
feuer,Fire,Огонь
laufen,to run,бежать
alleine,alone,в одиночестве
erinnern,recall,отзывать
völlig,fully,от корки до корки
kleines,small,небольшой
könnt,can,могу
stelle,star,Работа
kumpel,Dude,Чувак
verlieren,lose,терять
probleme,problems,проблемы
spricht,speaks,говорить
kaffee,coffee,кофе
luft,air,воздух
fand,found,нашел
i,i,я
entschuldige,Excuse me,Прошу прощения
ziehen,draw,рисовать
verschwinden,disappear,пропадать
könntest,could,мог
seht,look,Смотреть
aufhören,stop,остановка
eigenen,own,собственный
richtige,right one,правильный
unserem,ours,наша
suche,seek,стремиться
zwar,that is,то есть
groß,big,большой
hol,where,держать
buch,a book,книга
krank,Sick,Больной
fühle,feel,Чувствовать
jedes,each,каждый
verstehst,understand,понимать
arzt,physician,врач
froh,joyful,радостный
versuche,tries,пытается
straße,Street,улица
rufen,to shout,кричать
heiraten,to marry,жениться
super,super,супер
sam,myself,Сэм
lebt,lives,жизни
gutes,good,хорошо
lasse,laser,лазер
onkel,uncle,дядя
total,total,Всего
gebracht,brought,принес
party,party,партия
erklären,explain,объяснять
spielt,play,играть
wahl,choice,выбор
vertrauen,trust,доверять
damals,back then,Вернуться тогда
tagen,days,дни
leicht,light,свет
nachdem,after,после
gegangen,gone,ушел
gefühl,feeling,чувство
kaufen,to buy,покупать
geschafft,Done,Сделанный
typen,True,типы
interessiert,Interested,Заинтересовать
möchten,want,хочу
halte,hold,держать
hält,hold,держать
glaub,belie,предательство
irgendwo,somewhere,где-то
stück,piece,кусок
genauso,just like that,Просто так
kennt,knows,знает
genommen,taken,взятый
zukunft,future,будущее
weniger,fewer,меньше
licht,light,свет
getroffen,met,встретились
himmel,heaven,небеса
nachricht,news,Новости
drüben,over there,там
passt,fits,подходит
sagten,told,сказал
kümmern,To take care of,Заботиться о
laut,loud,громко
vergiss,forget,забывать
angerufen,called,называется
sitzen,sit,сидеть
daß,that,это
erde,Earth,земной шар
großer,greater,больше
schlüssel,key,ключ
rest,rest,отдых
passieren,happen,случаться
eher,rather,скорее
gefragt,asked,спросил
gefängnis,prison,тюрьма
opfer,victim,жертва
körper,body,тело
solche,such,такой
mist,mist,проклятие
mr,mr,г-н
findet,find,найти
schreiben,to write,написать
böse,angry,сердитый
gesprochen,spoken,произнесенный
versuch,attempt,пытаться
vorstellen,introduce,представлять
wovon,About what,О чем
sobald,as soon as,как только
nochmal,once again,снова
herren,Men's,Мужской
sex,sex,секс
waffen,weapons,оружие
wohnung,apartment,квартира
weh,sore,больной
heißen,mean,иметь в виду
krankenhaus,hospital,больница
bringe,bring,приносить
höre,hear,слышать
millionen,millions,миллионы
klasse,Great,Здорово
hart,heart,жесткий
worden,become,был
sinn,his,смысл
außerdem,in addition,Кроме того
verletzt,hurt,причинить боль
ändern,to change,изменить
erfahren,Experienced,Опытный
tragen,wear,носить
wenigstens,at least,по меньшей мере
vorsichtig,carefully,осторожно
daddy,daddy,папочка
stolz,proud,гордый
stark,strong,сильный
fällt,fall,Осень
möchtest,want,хочу
leuten,people,люди
besonders,particularly,особенно
schöne,lovely,прекрасный
schicken,send,Отправить
person,person,человек
schätze,treasures,сокровища
solange,so long,так долго
länger,longer,дольше
großartig,Great,Здорово
lacht,laugh,смех
anrufen,call up,позвонить
stand,stand,стоял
redest,talk,говорить
fühlen,feel,Чувствовать
erwartet,expected,ожидал
boden,floor,пол
boss,boss,босс
stimme,voice,голос
glaubt,believe,полагать
still,still,тихий
sicherheit,security,безопасность
setz,sitting,заседание
ma,MA,масса
mund,can,рот
kämpfen,battle,боевой
wisst,scoff,отсекать
lachen,laugh,смех
hörst,hear,слышать
zeug,things,вещи
lustig,fun,весело
umbringen,kill,убийство
sollst,shorter,короче
hasse,hate,ненавидеть
schlimm,terrible,ужасный
o,O,О
unglaublich,unbelievable,невероятный
wärst,be,быть
laden,load,нагрузка
führen,to lead,вести
gestorben,died,умерла
schauen,watch,смотреть
meinung,opinion,мнение
lesen,read,читать
mörder,murderer,убийца
frank,frank,откровенный
ähm,um,ими
geschehen,happen,случаться
geschäft,business,бизнес
idiot,idiot,идиот
verzeihung,forgiveness,прощение
fliegen,to fly,летать
zeig,show,показывать
team,team,команда
general,general,Общая
mike,mike,Майк
aufs,onto,на
york,york,Йорк
vorher,before,до
schluss,Enough,Достаточно
schneller,more quickly,еще быстрее
liebt,loving,любящий
verdient,deserved,заслуженный
mögen,like,подобно
meisten,most,наиболее
denk,think,думать
umgebracht,killed,погибший
perfekt,Perfect,Идеально
versprochen,promised,обещанный
handy,handy,мобильный
hinten,rear,задний
monate,months,месяцы
erinnere,recall,отзывать
acht,eight,восемь
arbeitet,is working,работает
fallen,fallen,Осень
rufe,laundry,вызов
nötig,necessary,необходимо
a,a,а.
mord,murder,убийство
heraus,out,вне
tages,day,день
unmöglich,not possible,невозможно
liebling,favorite,любимый
charlie,charlie,Чарли
tatsächlich,indeed,конечно
folgen,follow,следить
bitten,ask,просить
behalten,keep,держать
nähe,vicinity,окрестности
arbeite,work,работай
joe,joe,Джо
verdammte,damn,проклятие
plötzlich,suddenly,"вдруг, внезапно"
lebens,life,жизнь
hole,hole,идти
tisch,table,стол
michael,michael,Майкл
hörte,heard,слышал
jemals,ever,Когда-либо
liegen,to lie,врать
verkaufen,Selling,Продажа
gefährlich,dangerous,опасный
anfangen,begin,начинать
bekommt,gets,получает
machte,bother,беспокоить
ha,ha,Ха.
hotel,hotel,отель
hilft,help,помощь
werdet,become,стали
meister,master,владелец
kampf,struggle,борьба
antwort,reply,Ответить
konnten,could,мог
geschickt,sent,послал
jedem,each,каждый
obwohl,although,несмотря на то что
sieben,seven,Семь
komisch,strange,странный
gewinnen,to win,побеждать
ihres,Yours,Ваша
bezahlt,paid,оплаченный
you,you,ты
voller,full of,полон
unterwegs,On the way,В пути
dumm,stupid,тупой
ärger,aggravation,обострение
bild,image,изображение
george,george,Джордж
neu,New,Новый
bezahlen,pay,платить
dagegen,against it,против этого
seien,be,быть
starb,died,умерла
tom,tom,Том
monaten,monthly,ежемесячно
leiche,corpse,труп
niemanden,no one,никто
auge,eye,глаз
arschloch,asshole,Мудак
verheiratet,married,женат замужем
peter,peter,Питер
zieh,pull,тянуть
nimmt,takes,занимает
gerettet,rescued,спасенный
agent,agent,агент
traum,dream,мечтать
entscheidung,decision,решение
schlimmer,worse,хуже
regeln,regulate,регулировать
fenster,window,окно
fangen,catch,ловить
fort,fort,вперед
ständig,constant,постоянный
findest,find,найти
gefahr,danger,Опасность
absolut,absolutely,абсолютно
mary,mary,Мэри
augenblick,moment,момент
bescheid,notice,уведомление
rum,room,ром
gedanken,thoughts,мысли
werd,became,быть
ziel,goal,цель
benutzt,used,использовал
bewegung,Move,Переехать
jemandem,someone,кто-то
wünschte,wished,пожелал
worte,words,слова
kamen,came,пришел
welcher,which,который
zahlen,counting,подсчет
anfang,beginning,начало
legen,place,место
erinnerst,remember,запомнить
anwalt,attorney,адвокат
fahr,driving,вождение
sitzt,sitting,заседание
hilf,help,помощь
offen,open,открытым
schönen,breeze,ветер
monsieur,Sir,муссон
müsste,might,мощь
arme,armed,бедных
bier,beer,пиво
fürs,for,для
partner,partner,партнер
klein,small,небольшой
david,david,Дэйвид
klappe,flap,лоскут
süß,Sweet,Милая
herum,hereabouts,церковь
finger,finger,Палец
ehe,marriage,брак
rolle,role,роль
ließ,pitch,подача
gleiche,same,такой же
monat,month,месяц
hochzeit,marriage,брак
max,max,Максимум
führt,leads,проводы
paris,Paris,Париж
wach,awake,бодрствующий
wozu,what for,зачем
arm,arm,бедных
geschrieben,written,писать
chef,chief,босс
benutzen,to use,использовать
informationen,information,Информация
erledigt,completed,завершенный
hoffentlich,hopefully,с надеждой
müsst,must,должен
fühlt,feels,чувствителен
tanzen,to dance,танцевать
ansehen,look at,посмотри на
darfst,can,могу
zuhause,At home,дома
wunderbar,Marvelous,Чудесный
hältst,hold,держать
reise,trip,путешествие
gewonnen,won,победил
dame,dame,леди
irgendwann,Sometime,Когда-то
