English,German
sold,verkauft
silly,albern
mention,erwähnen
build,bauen
throat,Kehle
hole,Loch
figured,erbärmlich
track,Spur
ringing,Klingeln
lock,sperren
leg,Bein
above,Oben
hiding,verstecken
steve,Steve.
seemed,schien
breakfast,Frühstück
engine,Motor
written,geschrieben
complete,Komplett
video,Video
applause,Beifall
however,aber
pressure,Druck
fresh,frisch
weapon,Waffe
sky,Himmel
ms,Frau
stole,Stahl
study,lernen
burn,brennen
reading,lesen
crowd,Menge
treat,behandeln
roll,rollen
double,doppelt
spirit,Geist
danger,Achtung
cost,Kosten
empty,leer
level,Stufe
memory,Erinnerung
itself,selbst
acting,Schauspielkunst
interest,Interesse
nose,Nase
plans,Pläne
following,folgen
bathroom,Bad
built,gebaut
closer,näher
ray,Strahl
sarah,Sarah
band,Band
groans,Stöhnen
apparently,offenbar
excited,erregt
richard,Richard
losing,verlieren.
animals,Tiere
flight,Flug
nature,Natur
raise,heben
pop,Pop
client,Klient
bomb,Bombe
neck,Nacken
suspect,vermuten
warm,warm
extra,extra
bottle,Flasche
van,van.
heavy,schwer
mommy,Mama
dogs,Hunde
wild,wild
ridiculous,lächerlich
simply,einfach
lee,Lee
animal,Tier
showed,zeigten
billy,Billy.
shooting,Schießen
keeps,hält
camp,Lager
guns,Pistole
medical,medizinisch
shame,Schande
hoping,Hoffnung
whom,dem
bird,Vogel
majesty,Majestät
flowers,Blumen
famous,berühmt
asleep,schlafend
beauty,Schönheit
driver,Treiber
keys,Schlüssel
rain,Regen
awful,abscheulich
large,groß
local,lokal
deserve,verdienen
goddamn,gottverdammt
stone,Stein
jane,Jane.
grace,Anmut
consider,Erwägen
weekend,Wochenende
wondering,fragen sich
lay,legen
plenty,eine Menge
willing,bereit
pants,Hose
sweetheart,Schatz
skin,Haut
excellent,Ausgezeichnet
asshole,Arschloch
beach,Strand
c,C
faith,Glaube
beg,bitten
fuckin,Fuckin
responsible,verantwortlich
military,Militär-
cheering,Jubel
opportunity,Gelegenheit
common,gemeinsam
bottom,Unterseite
german,Deutsch
whoever,wer auch immer
cook,Koch
walked,gegangen
papers,Papiere
justice,die Gerechtigkeit
hall,Saal
commander,Kommandant
drug,Arzneimittel
main,hauptsächlich
knife,Messer
devil,Teufel
necessary,notwendig
although,obwohl
princess,Prinzessin
lights,Beleuchtung
flying,fliegend
dick,Dick
rose,Rose
knowing,wissen
clearly,deutlich
hat,Hut
agreed,einverstanden
johnny,Johnny.
corner,Ecke
code,Code
note,Hinweis
tommy,Tommy.
due,fällig
correct,Korrekt
apologize,sich entschuldigen
language,Sprache
stars,Sterne
faster,Schneller
cars,Autos
folks,Leute
bullshit,Bullshit.
i,ich
fellow,Geselle
several,mehrere
grandma,Oma
shows,zeigt an
leader,Führer
leaves,Blätter
restaurant,Restaurant
east,Ost
shouting,schreien
blind,blind
ghost,Geist
cup,Becher
gotten,got
tight,fest
conversation,Gespräch
tells,erzählen
lies,Lügen
nor,Noch
pulled,gezogen
hanging,hängend
speed,Geschwindigkeit
stories,Geschichten
health,die Gesundheit
advice,Rat
held,gehaltenen
uh-huh,uh-huh.
murdered,ermordet
beyond,außerhalb
rule,Regel
hardly,kaum
possibly,möglicherweise
inspector,Inspektor
cousin,Vetter
trial,Gerichtsverhandlung
emergency,Notfall
ought,sollen
eddie,eddie.
somehow,irgendwie
hearing,Hören
states,Zustände
account,Konto
spoke,gesprochen
file,Datei
understood,verstanden
angel,Winkel
tape,Band
milk,Milch
powerful,kraftvoll
weapons,Waffen
practice,üben
manager,Manager
pardon,Begnadigung
vote,Abstimmung
jake,Jake.
national,National
career,Werdegang
minister,Minister
super,Super
taught,unterrichtet
robert,Robert
biggest,größte
plays,Theaterstücke
natural,natürlich
dancing,Tanzen
copy,Kopieren
plus,Plus
martin,Martin
cake,Kuchen
freedom,Freiheit
among,unter
breath,der Atem
operation,Operation
chris,Chris.
crew,Besatzung
challenge,Herausforderung
market,Markt
meat,Fleisch
towards,in Richtung
bringing,bringend
dropped,fallen gelassen
student,Schüler
lied,gelogen
strength,Stärke
size,Größe
breathe,atmen
color,Farbe
monster,Monster-
loud,laut
photo,Foto
aw,Awn
nearly,fast
sight,Sicht
greatest,größte
games,Spiele
bridge,Brücke
dressed,angezogen
arrested,verhaftet
horrible,entsetzlich
coach,coachen
planning,Planung
checked,geprüft
breaking,brechen
noticed,bemerkte
fantastic,Fantastisch
screams,Geschrei
serve,Dienen
ideas,Ideen
investigation,Untersuchung
center,Center
older,älter
pack,Pack
soldiers,Soldaten
nonsense,Unsinn
doc,doc.
project,Projekt
training,Ausbildung
example,Beispiel
trick,Trick
prepared,bereit
science,Wissenschaft
united,vereinigt
travel,Reisen
incredible,unglaublich
grandpa,Opa
paying,zahlen
character,Charakter
teeth,Zähne
criminal,kriminell
charles,Charles
chinese,Chinesisch
truly,wirklich
honestly,ehrlich
bro,Bruder
survive,Überleben
bobby,Bobby
target,Ziel
feed,füttern
nurse,Krankenschwester
e,E.
fake,gefälscht
records,Aufzeichnungen
breathing,Atmung
sweetie,Schätzchen
numbers,Zahlen
oil,Öl
suicide,Selbstmord
belong,gehören
whoo,whoo.
perfectly,perfekt
amy,Amy
forgotten,Vergessene
remain,bleiben übrig
original,Original
papa,Papa
onto,auf zu
concerned,betroffen
credit,Kredit
ugh,Pfui
invited,eingeladen
discuss,diskutieren
research,Forschung
easier,Einfacher
view,Ansicht
chair,Sessel
hurts,weh
strike,schlagen
roger,Roger
fill,füllen
condition,Zustand
mountain,Berg
dr,DR
nowhere,nirgends
sheriff,Sheriff
kim,Kim
turning,Drehen
brown,Braun
recognize,erkenne
heads,Köpfe
audience,Publikum
all,alle
jealous,neidisch
pretend,vorgeben
society,die Gesellschaft
finding,finden
shirt,Shirt
comfortable,gemütlich
meaning,Bedeutung
guest,Gast
pieces,Stücke
dry,trocken
letting,zulassen
began,begann
aye,Ja
jeff,Jeff
female,weiblich
release,Freisetzung
ho,Hacke
cards,Karten
pray,beten
unfortunately,Unglücklicherweise
balls,Bälle
destroyed,zerstört
ended,endete
universe,Universum
prepare,bereiten
opinion,Meinung
movies,Filme
soldier,Soldat
wash,waschen
program,Programm
heat,Wärme
usual,üblich
ticket,Fahrkarte
stolen,gestohlen
prefer,bevorzugen
aware,bewusst
surely,sicherlich
male,männlich
base,Base
matters,Angelegenheiten
lift,Aufzug
lab,Labor
command,Befehl
proof,nachweisen
cream,Sahne
selling,Verkauf
believed,glaubte
create,schaffen
h,h
afford,leisten
sunday,Sonntag
total,gesamt
dumb,Dumm
threw,geworfen
france,Frankreich
birth,Geburt
created,erstellt
realized,erkannte
british,britisch
noise,Lärm
nuts,Nüsse
students,Studenten
birds,Vögel
social,Sozial
brilliant,brillant
bodies,Körpern
tie,binden
opened,geöffnet
ours,unsere
bucks,Bucks
kevin,Kevin.
mister,Herr
ugly,hässlich
ryan,Ryan
focus,Fokus
dan,Dan
opens,öffnet
exist,existieren
followed,gefolgt
england,England
draw,zeichnen
purpose,Zweck
letters,Briefe
daniel,Daniel.
opening,Öffnung
bullet,Patrone
anna,Anna
lately,in letzter Zeit
stayed,blieb
falling,fallend
season,Jahreszeit
ends,endet
suggest,empfehlen
joy,Freude
distance,Distanz
responsibility,Verantwortung
whenever,wann immer
issue,Ausgabe
thousands,Tausende
process,Prozess
sword,Schwert
shower,Dusche
weak,schwach
fucked,gefickt
lonely,einsam
happiness,Glück
eric,eric.
tiny,sehr klein
desk,Schreibtisch
pool,Schwimmbad
property,Eigentum
forced,gezwungen
settle,siedeln
indistinct,undeutlich
weight,Gewicht
received,empfangen
gang,Gang
bite,beissen
friday,Freitag
disappeared,verschwunden
interview,Interview
expecting,Erwartung
kinda,irgendwie
surgery,Chirurgie
horses,Pferde
mayor,Bürgermeister
babe,Baby
ancient,alt
handsome,gut aussehend
thomas,Thomas
saturday,Samstag
staff,Mitarbeiter
lines,Linien
unit,Einheit
fan,Fan
gentleman,Gentleman
introduce,einführen
fate,das Schicksal
split,Teilt
recently,vor kurzem
expected,erwartet
add,addieren
ordered,bestellt
slowly,langsam
alarm,Alarm
member,Mitglied
slept,habe geschlafen
signed,unterzeichnet
enter,betreten
spanish,Spanisch
garden,Garten
brings,bringt
brave,tapfer
pig,Schwein
model,Modell
finger,Finger
medicine,Medizin
access,betreten
failed,gescheitert
flat,Wohnung
easily,leicht
discovered,entdeckt
based,basierend
screw,Schrauben
insane,verrückt
cares,kümmerlich
weather,Wetter
fingers,Finger
san,San
scott,Scott
path,Weg
soft,weich
harm,Schaden
style,Stil
community,Gemeinschaft
sees,sieht
basically,Grundsätzlich gilt
al,AL.
signal,Signal
nope,Nö
spare,Ersatzteil
speech,Rede
covered,bedeckt
shake,Shake
loose,lose
snow,Schnee
russian,Russisch
lake,See
bright,hell
roof,Dach
ohh,Ohne
sending,schicken
paint,malen
remind,erinnern
pal,Kumpel
naked,nackt
post,Post
sugar,Zucker
heading,Üerschrift
streets,Straßen
damage,Schaden
silence,Schweigen
doors,Türen
pete,Pete
ed,ed.
success,Erfolg
wet,nass
